State,State_Code,2W_22,3W_22,4W_22,Total_22,2W_23,3W_23,4W_23,Total_23,2W_24,3W_24,4W_24,Total_24,Capital_subsidy_2W,Capital_subsidy_4W,Scrapping_Incentives,Other_Incentives,SGST_Rem,Motor_Vehicle_Tax_Exe,Registration_Fee_Exe,Road_Tax_Exe
Andaman & Nicobar Islands,AN,0,0,21,21,17,0,2,19,20,0,11,31,0,0,0,0,No,No,No,No
Andhra Pradesh & Telangana ,AP&TS,13647,553,473,14673,29492,1288,1042,31822,31452,2869,1884,36205,0,0,0,0,100%,No,100%,100%
Arunachal Pradesh,AR,0,0,0,0,1,0,1,2,3,2,29,34,0,0,0,0,No,No,No,No
Assam,AS,718,19698,11,20427,2074,43073,110,45257,3669,59731,292,63692,20000,150000,0,RI 15%,No,No,100%,100%
Bihar,BR,4750,23445,80,28275,10907,51470,215,62592,14382,81341,731,96454,20000,150000,0,0,No,No,No,No
Chandiagrh,CH,288,529,125,942,1510,1874,474,3858,1861,3483,1138,6482,0,0,3500,RI 15%,No,No,No,No
Chhattisgarh,CG,4415,1993,115,6523,20194,6976,517,27687,27656,12672,1767,42095,0,0,0,0,No,No,No,No
Dadra and Nagar Haveli and Diu and Daman ,DD,30,2,5,37,103,23,20,146,150,16,49,215,0,0,0,0,No,No,No,No
Delhi,DL,14256,17913,1706,33875,36810,22624,4026,63460,38272,30023,6220,74515,30000,150000,5000-7000,IS 5%,No,No,100%,100%
Goa,GA,1444,15,335,1794,6425,49,684,7158,9893,34,1029,10956,30000,150000,10000,0,No,No,No,No
Gujarat,GJ,16765,786,1209,18760,75702,1670,3284,80656,77105,3526,7348,87979,20000,150000,0,0,No,No,No,No
Haryana,HR,5807,5911,86,11804,11526,15601,903,28030,9033,21602,1954,32589,0,0,0,0,No,No,No,No
Himachal Pradesh,HP,424,10,19,453,1040,25,68,1133,888,87,161,1136,0,0,0,0,No,No,No,No
Jammu & Kashmir,JK,1418,118,16,1552,2188,3387,66,5641,2132,9166,207,11505,0,0,0,0,No,No,No,No
Jharkhand,JH,2656,2565,44,5265,7650,8153,189,15992,7400,14432,387,22219,0,0,0,0,No,No,No,No
Karanataka,KA,41286,2908,1711,45905,102981,4705,4495,112181,150161,5780,10620,166561,0,0,0,0,No,No,No,No
Kerala,KL,11412,1213,2244,14869,44440,2722,5024,52186,65202,5095,10419,80716,0,0,0,IS 3% ,No,No,100%,100%
Ladakh,LA,12,0,0,12,15,0,10,25,31,1,0,32,0,0,0,EBI 20%,No,No,No,No
Lakshadweep,LD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,No,No,No
Madhya Pradesh,MP,7672,5175,242,13089,27042,15141,802,42985,43349,31852,1941,77142,0,0,0,0,No,99%,100%,No
Maharashtra,MH,41902,2563,6395,50860,138817,7859,10729,157405,183968,12612,12743,209323,37000,250000,7000-25000,0,No,No,100%,100%
Manipur,MN,25,104,0,129,139,393,9,541,88,143,37,268,0,0,0,0,No,No,100%,100%
Meghalaya,ML,0,7,4,11,31,7,10,48,106,235,27,368,10000 /kWh,4000 /kWh,0,0,No,No,No,No
Mizoram,MZ,1,0,0,1,65,0,0,65,274,0,1,275,0,0,0,0,No,No,No,No
Nagaland,NL,1,0,0,1,3,0,0,3,4,0,6,10,0,0,0,0,No,No,No,No
Odisha,OD,9355,893,135,10383,29114,2643,495,32252,44537,5446,1663,51646,5000,100000,0,IS 5%,No,No,No,No
Punjab,PB,4481,2138,37,6656,8050,7875,53,15978,10106,20604,1201,31911,0,0,0,0,No,No,No,No
Puducherry,PY,724,9,10,743,1653,34,34,1721,2987,143,98,3228,0,0,0,0,No,No,No,No
Rajasthan ,RJ,19316,11290,765,31371,61797,24478,1997,88272,62691,31662,5097,99450,10000,0,0%,RI 15%,No,No,No,No
Sikkim ,SK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,No,No,No
Tamil Nadu,TN,35677,1892,1171,38740,65769,2760,3110,71639,87403,6138,6635,100176,0,0,0,0,No,No,100%,100%
Tripura,TR,28,2539,0,2567,221,4153,5,4379,273,7261,31,7565,0,0,0,0,No,No,No,No
Uttarakhand,UK,1899,4544,169,6612,6315,10029,378,16722,5775,10900,554,17229,0,0,0,0,No,100%,No,No
Uttar Pradesh,UP,10103,71455,114,81672,26570,161316,627,188513,53576,246322,5834,305732,0,0,0,EBI 10%,No,No,87%,100%
West Bengal,WB,2269,3372,402,6043,9579,2220,1023,12822,13994,9582,2040,25616,20000,150000,0,0,No,No,No,No
